,STATE,week_no,lat,lon,gws_inst,rtzsm_inst,sfsm_inst
52,ANDAMAN AND NICOBAR ISLANDS,53,12.5,92.875,28.1440515,25.842964000000002,30.639633000000003
53,ANDAMAN AND NICOBAR ISLANDS,54,12.5,92.875,27.841977,15.16624225,18.2164505
54,ANDAMAN AND NICOBAR ISLANDS,55,12.5,92.875,22.038842000000002,20.7800235,33.919899
55,ANDAMAN AND NICOBAR ISLANDS,56,12.5,92.875,25.993157500000002,26.402664,28.040186
56,ANDAMAN AND NICOBAR ISLANDS,57,12.5,92.875,38.334518,98.68132,97.03297
57,ANDAMAN AND NICOBAR ISLANDS,58,12.5,92.875,50.352257,54.065585,59.012275
58,ANDAMAN AND NICOBAR ISLANDS,59,12.5,92.875,50.262755,57.7532635,61.5766885
59,ANDAMAN AND NICOBAR ISLANDS,60,12.5,92.875,49.488935,35.817794,14.208056
60,ANDAMAN AND NICOBAR ISLANDS,61,12.5,92.875,48.355168,45.075981,31.964033
61,ANDAMAN AND NICOBAR ISLANDS,62,12.5,92.875,43.3784445,22.090672499999997,14.8985495
62,ANDAMAN AND NICOBAR ISLANDS,63,12.5,92.875,43.533577,8.53187085,6.3834894
63,ANDAMAN AND NICOBAR ISLANDS,64,12.5,92.875,38.204226000000006,7.79115,8.508177799999999
64,ANDAMAN AND NICOBAR ISLANDS,65,12.5,92.875,33.3917415,5.9999625000000005,4.00646985
65,ANDAMAN AND NICOBAR ISLANDS,66,12.5,92.875,15.686152499999999,0.54945057,0.6593407
66,ANDAMAN AND NICOBAR ISLANDS,67,12.5,92.875,11.712475,1.18645175,2.5756996
67,ANDAMAN AND NICOBAR ISLANDS,68,12.5,92.875,12.042429,6.67537315,3.9078269
68,ANDAMAN AND NICOBAR ISLANDS,69,12.5,92.875,15.1600845,2.9762363499999998,3.3436007
69,ANDAMAN AND NICOBAR ISLANDS,70,12.5,92.875,7.60727685,1.2035546,1.2087913000000001
70,ANDAMAN AND NICOBAR ISLANDS,71,12.5,92.875,3.9684631500000003,0.6593407,0.43956044
71,ANDAMAN AND NICOBAR ISLANDS,72,12.5,92.875,1.75824185,39.269963000000004,42.888496
72,ANDAMAN AND NICOBAR ISLANDS,73,12.5,92.875,1.5384616,8.85943,8.04456275
73,ANDAMAN AND NICOBAR ISLANDS,74,12.5,92.875,61.927152500000005,87.72429,73.368795
74,ANDHRA PRADESH,1,16.543,79.55233333333334,93.089801856,92.57668942933334,86.04133576533333
75,ANDHRA PRADESH,2,16.543,79.55233333333334,93.58121977866666,93.05713430933334,85.02009783128
76,ANDHRA PRADESH,3,16.543,79.55233333333334,93.859171888,91.75855640266667,81.33974290666667
77,ANDHRA PRADESH,4,16.543,79.55233333333334,94.08859601600001,92.36285388266666,81.96550487466666
78,ANDHRA PRADESH,5,16.543,79.55233333333334,93.95946414933334,86.63426830666667,77.02179938
79,ANDHRA PRADESH,6,16.543,79.55233333333334,93.38230957066668,86.45777162586667,80.02050167386666
80,ANDHRA PRADESH,7,16.543,79.55233333333334,92.81396557066667,83.53339584666666,73.41420303093334
81,ANDHRA PRADESH,8,16.543,79.55233333333334,91.95111641066667,84.64118741754666,78.17668726746666
82,ANDHRA PRADESH,9,16.543,79.55233333333334,91.205540632,84.08023406586668,79.23862455999999
83,ANDHRA PRADESH,10,16.543,79.55233333333334,91.09477777466667,78.33441654573333,72.61491524370666
84,ANDHRA PRADESH,11,16.543,79.55233333333334,90.60863775279999,64.84000182986667,64.31866466949333
85,ANDHRA PRADESH,12,16.543,79.55233333333334,92.00674064533332,96.41195653066666,95.71008860266666
86,ANDHRA PRADESH,13,16.543,79.55233333333334,93.96873188266666,88.69167793866666,92.680545744
87,ANDHRA PRADESH,14,16.543,79.55233333333334,93.934889896,85.90723813333334,88.045039824
88,ANDHRA PRADESH,15,16.543,79.55233333333334,94.909286224,88.81852916,84.79093057866667
89,ANDHRA PRADESH,16,16.543,79.55233333333334,95.68107183733333,75.74310914666667,65.91396141445333
90,ANDHRA PRADESH,17,16.543,79.55233333333334,96.01928494933333,93.098233896,91.74367230933335
91,ANDHRA PRADESH,18,16.543,79.55233333333334,97.142940312,99.403651184,97.76526629333334
92,ANDHRA PRADESH,19,16.543,79.55233333333334,99.01663157333333,97.58846504533334,96.46824462933334
93,ANDHRA PRADESH,20,16.543,79.55233333333334,99.43222458666666,95.033924448,84.78794063466667
94,ANDHRA PRADESH,21,16.543,79.55233333333334,99.43681801333332,83.22332848799999,81.29122013333333
95,ANDHRA PRADESH,22,16.543,79.55233333333334,99.29506945866666,71.54449574586667,73.12348400533334
96,ANDHRA PRADESH,23,16.543,79.55233333333334,99.14675467733332,70.554567392,61.52616818933333
97,ANDHRA PRADESH,24,16.543,79.55233333333334,97.47659429866667,35.665553198400005,21.3314140536
98,ANDHRA PRADESH,25,16.543,79.55233333333334,91.73344540533334,24.982358119466667,31.64097682362667
99,ANDHRA PRADESH,26,16.543,79.55233333333334,83.52493208,62.61926478133333,73.668245768
100,ANDHRA PRADESH,27,16.543,79.55233333333334,77.51107257866667,51.931682459200005,63.738269624
101,ANDHRA PRADESH,28,16.543,79.55233333333334,77.25022122933333,64.70689116,62.329745464
102,ANDHRA PRADESH,29,16.543,79.55233333333334,76.74385792266666,61.15240206133333,63.889878968000005
103,ANDHRA PRADESH,30,16.543,79.55233333333334,87.511237728,92.75766704533332,94.86309069066668
104,ANDHRA PRADESH,31,16.543,79.55233333333334,93.33164266933333,85.980548512,73.275538136
105,ANDHRA PRADESH,32,16.543,79.55233333333334,87.71124991200001,54.165575288,46.87012244266666
106,ANDHRA PRADESH,33,16.543,79.55233333333334,80.6337778,46.499098911999994,44.536024853866664
107,ANDHRA PRADESH,34,16.543,79.55233333333334,75.92607871199999,49.48668748,42.62907718933334
108,ANDHRA PRADESH,35,16.543,79.55233333333334,70.41438551733333,38.59176560426667,33.33862639466667
109,ANDHRA PRADESH,36,16.543,79.55233333333334,65.93482155733334,69.401893,88.03644397599999
110,ANDHRA PRADESH,37,16.543,79.55233333333334,69.69349918933334,63.428204264,62.84072226666667
111,ANDHRA PRADESH,38,16.543,79.55233333333334,67.75438515466666,46.59315912266666,36.858152757333336
112,ANDHRA PRADESH,39,16.543,79.55233333333334,63.54065447466666,67.61388747733334,75.31675708
113,ANDHRA PRADESH,40,16.543,79.55233333333334,65.89037189333332,64.57472317333333,56.542950656
114,ANDHRA PRADESH,41,16.543,79.55233333333334,61.28870340266666,27.09868454344,18.16230865704
115,ANDHRA PRADESH,42,16.543,79.55233333333334,55.88351509066666,20.135437977706665,19.1064572008
116,ANDHRA PRADESH,43,16.543,79.55233333333334,48.710896472,13.971598501733334,8.435667074506666
117,ANDHRA PRADESH,44,16.543,79.55233333333334,41.336470271786666,15.663176635626668,16.34872053376
118,ANDHRA PRADESH,45,16.543,79.55233333333334,33.456628954133336,30.239591645359997,64.26353287466667
119,ANDHRA PRADESH,46,16.543,79.55233333333334,32.03491948933333,32.8458512792,25.724211599333334
120,ANDHRA PRADESH,47,16.543,79.55233333333334,28.622890370133334,22.4481449568,36.61419044266667
121,ANDHRA PRADESH,48,16.543,79.55233333333334,29.259350408266666,48.274163437333335,55.82864382933333
122,ANDHRA PRADESH,49,16.543,79.55233333333334,32.7783247328,57.28433687493333,77.79570209866667
123,ANDHRA PRADESH,50,16.543,79.55233333333334,49.04051989573333,70.66465851653334,71.29859430133332
124,ANDHRA PRADESH,51,16.543,79.55233333333334,52.62124672773333,62.420481906666666,61.197650792
125,ANDHRA PRADESH,52,16.543,79.55233333333334,54.2315755088,54.24374747546666,56.12376660346666
126,ANDHRA PRADESH,53,16.543,79.55233333333334,55.363101154666666,49.17822808528,49.731831416160006
127,ANDHRA PRADESH,54,16.543,79.55233333333334,56.276758055200006,52.11618317333333,56.465793270666666
128,ANDHRA PRADESH,55,16.543,79.55233333333334,57.2004963192,46.59311337733334,48.6594909216
129,ANDHRA PRADESH,56,16.543,79.55233333333334,57.721917212533334,45.275373116000004,46.10932256757333
130,ANDHRA PRADESH,57,16.543,79.55233333333334,58.62642094693333,39.77507544746667,36.19973832074667
131,ANDHRA PRADESH,58,16.543,79.55233333333334,60.325009056,39.72353248293334,40.403410627999996
132,ANDHRA PRADESH,59,16.543,79.55233333333334,61.273903048,40.14299501253333,44.82741894
133,ANDHRA PRADESH,60,16.543,79.55233333333334,62.089387392000006,41.4596700216,41.350171386666666
134,ANDHRA PRADESH,61,16.543,79.55233333333334,62.903756085333335,62.933342030666665,71.41011436266666
135,ANDHRA PRADESH,62,16.543,79.55233333333334,62.68031374666666,52.123338153333336,56.08913514666667
136,ANDHRA PRADESH,63,16.543,79.55233333333334,63.66866157866667,49.542668816533336,51.39755490666667
137,ANDHRA PRADESH,64,16.543,79.55233333333334,63.804668754666665,43.368406313866664,52.95058876106667
138,ANDHRA PRADESH,65,16.543,79.55233333333334,63.318272093333334,48.9668883112,49.019943441066665
139,ANDHRA PRADESH,66,16.543,79.55233333333334,60.363420344000005,39.9936365656,23.928603792
140,ANDHRA PRADESH,67,16.543,79.55233333333334,57.667750240000004,40.41555688053333,17.31353201872
141,ANDHRA PRADESH,68,16.543,79.55233333333334,56.343882066666666,47.03586039946667,40.9719182568
142,ANDHRA PRADESH,69,16.543,79.55233333333334,55.3541162,39.0375121676,40.6601286812
143,ANDHRA PRADESH,70,16.543,79.55233333333334,54.56595176533333,15.749405554666666,7.945453114613333
144,ANDHRA PRADESH,71,16.543,79.55233333333334,53.58603508453333,44.408998964800006,37.682498514693336
145,ANDHRA PRADESH,72,16.543,79.55233333333334,55.929943908,90.07340011733334,91.50572684
146,ANDHRA PRADESH,73,16.543,79.55233333333334,67.69328684266667,95.469515728,91.68971949066666
147,ANDHRA PRADESH,74,16.543,79.55233333333334,78.74436592800001,81.34327229866666,72.59780527733334
148,ARUNACHAL PRADESH,1,28.151639344262296,94.81147540983606,5.072654211639344,6.820400892540984,6.378672619508197
149,ARUNACHAL PRADESH,2,28.151639344262296,94.81147540983606,4.082475755819672,3.61360959295082,3.3365314475409837
150,ARUNACHAL PRADESH,3,28.151639344262296,94.81147540983606,3.3868835512295083,4.764383909999999,5.46249484295082
151,ARUNACHAL PRADESH,4,28.151639344262296,94.81147540983606,2.5843184708196723,2.3658409300819674,2.284477832295082
152,ARUNACHAL PRADESH,5,28.151639344262296,94.81147540983606,1.9832810954918034,1.9365398209836064,1.8387300113114753
153,ARUNACHAL PRADESH,6,28.151639344262296,94.81147540983606,1.9221694536885245,2.0159226294262296,2.777324964262295
154,ARUNACHAL PRADESH,7,28.151639344262296,94.81147540983606,2.021699137704918,4.986234513934426,4.699112560737705
155,ARUNACHAL PRADESH,8,28.151639344262296,94.81147540983606,1.9211792076229508,2.6651088667213116,2.785134694262295
156,ARUNACHAL PRADESH,9,28.151639344262296,94.81147540983606,2.128965838032787,4.246690405983606,3.722752681557377
157,ARUNACHAL PRADESH,10,28.151639344262296,94.81147540983606,2.0999152818032787,2.2321037194262296,2.8645041036065573
158,ARUNACHAL PRADESH,11,28.151639344262296,94.81147540983606,2.249981957540984,2.1702767144262296,1.6572791664754098
159,ARUNACHAL PRADESH,12,28.151639344262296,94.81147540983606,2.745072310819672,5.963949879590164,9.140353775655738
160,ARUNACHAL PRADESH,13,28.151639344262296,94.81147540983606,3.701567964918033,7.950386507377049,12.433302390819673
161,ARUNACHAL PRADESH,14,28.151639344262296,94.81147540983606,4.781648623852459,10.74219545295082,12.297446345737704
162,ARUNACHAL PRADESH,15,28.151639344262296,94.81147540983606,5.422014579262296,7.334751335245902,5.832430573360656
163,ARUNACHAL PRADESH,16,28.151639344262296,94.81147540983606,4.131716343442623,2.023642802786885,1.8290634576229508
164,ARUNACHAL PRADESH,17,28.151639344262296,94.81147540983606,3.4896640383606554,3.928350741065574,2.9706951333606555
165,ARUNACHAL PRADESH,18,28.151639344262296,94.81147540983606,3.130643188196721,5.295358462868853,7.658315351721311
166,ARUNACHAL PRADESH,19,28.151639344262296,94.81147540983606,4.223235840163934,5.825071624754099,5.256856637377049
167,ARUNACHAL PRADESH,20,28.151639344262296,94.81147540983606,3.71826774,2.008504428852459,3.0489112186065572
